,premise,choice1,choice2,label,question
1188,take your car and drive to grocery shop.,wait in line for checkout.,turn the car on.,1,cause
1189,drive to grocery store.,wait your turn to pay.,turn the car on.,1,cause
1190,turn on the car.,drive to the grocery store.,present any coupons you may have for items purchased.,0,effect
1191,turn on the car.,drive to nearest grocery store.,present any coupons you may have for items purchased.,0,effect
1192,turn the car on.,drive to grocery store.,present any coupons you may have for items purchased.,0,effect
1193,turn on the car.,drive to grocery store.,present any coupons you may have for items purchased.,0,effect
1194,turn the car on.,drive to store and park.,present any coupons you may have for items purchased.,0,effect
1195,drive to grocery store.,present any coupons you may have for items purchased.,turn the car on.,1,cause
1196,go to the grocery store by car.,present any coupons you may have for items purchased.,turn on the car.,1,cause
1197,"visit the mall by car, park the vehicle.",present any coupons you may have for items purchased.,turn on the car.,1,cause
1198,go to the store by your own vehicle.,present any coupons you may have for items purchased.,turn on the car.,1,cause
1200,turn on the car.,go to store by driving.,put all of your groceries on the belt for the cashier to ring up and bag.,0,effect
1201,turn on the car.,go to the store by car.,put items on counter.,0,effect
1202,turn the car on.,drive to grocery store.,put items on counter.,0,effect
1203,turn on the car.,go to the store by driving.,put items on belt.,0,effect
1204,turn the car on.,take your car and drive to grocery shop.,unload items onto conveyer belt.,0,effect
1205,go to the store by car.,place items on conveyer belt.,turn the car on.,1,cause
1206,drive to grocery store.,put items on belt.,turn on the car.,1,cause
1207,drive to store.,have cashier check you out.,turn the car on.,1,cause
1208,drive to store.,place items on conveyer belt.,turn on the car.,1,cause
1209,drive to store.,put items on belt.,turn on the car.,1,cause
1210,turn the car on.,make a trip to the store by car.,wait for them to be scanned.,0,effect
1211,turn the car on.,drive to nearest grocery store.,cashier rings up items.,0,effect
1212,turn the car on.,drive to store.,cashier rings up items.,0,effect
1213,turn on the car.,drive to grocery store of choice.,check out food.,0,effect
1214,turn the car on.,"visit the mall by car, park the vehicle.",wait for them to be scanned.,0,effect
1215,drive to the grocery store.,wait for cashier to finish ringing you up.,turn the car on.,1,cause
1216,go to store by driving.,let the cashier ring up your items.,turn on the car.,1,cause
1217,go to the store by driving your own vehicle.,check out the things.,turn the car on.,1,cause
1218,drive to grocery store.,check out the things.,turn the car on.,1,cause
1219,drive to grocery store of choice.,scan all my items while somebody bags them.,turn the car on.,1,cause
1220,turn the car on.,go to grocery store by car.,cashier gives you total amount to be paid.,0,effect
1221,turn the car on.,drive to grocery store.,cashier gives total.,0,effect
1222,turn on the car.,go to grocery store by car.,cashier gives you total.,0,effect
1223,turn on the car.,drive to nearest grocery store.,cashier gives total amount to be paid.,0,effect
1224,turn the car on.,go to the store by car.,"when all items are scanned, the cashier will give you a total.",0,effect
1225,drive to grocery store.,wait to know the total amount to be paid.,turn the car on.,1,cause
1226,drive to grocery store.,"when all items are scanned, the cashier will give you a total.",turn the car on.,1,cause
1227,drive to grocery store.,cashier gives total.,turn the car on.,1,cause
1228,go to the store by driving.,cashier gives total amount to be paid.,turn the car on.,1,cause
1229,drive to store.,wait to know the total amount to be paid.,turn on the car.,1,cause
1230,turn on the car.,drive to the nearby store.,get wallet and take money out of it.,0,effect
1231,turn on the car.,drive to store.,take the money out of wallet for paying the bill.,0,effect
1232,turn on the car.,drive to store.,take out money from the wallet.,0,effect
1233,turn on the car.,go to grocery store by car.,take out money from the wallet.,0,effect
1234,turn the car on.,drive to the nearby store.,take out money from the wallet.,0,effect
1235,drive to nearby grocery store.,get wallet and take money out of it.,turn on the car.,1,cause
1236,make a trip to the store by car.,take out money from the wallet.,turn the car on.,1,cause
1237,drive to store.,get wallet and take money out of it.,turn the car on.,1,cause
1238,drive to the nearby store.,take the money out of wallet for paying the bill.,turn the car on.,1,cause
1239,drive to grocery store.,take the money out of wallet for paying the bill.,turn on the car.,1,cause
1240,turn the car on.,go to the store by driving your own vehicle.,pay for items at check out.,0,effect
1241,turn on the car.,drive to the grocery store.,pay total.,0,effect
1242,turn on the car.,find a grocery store.drive  to the store.,pay for items with cash or credit.,0,effect
1243,turn the car on.,drive to grocery store.,pay and check out.,0,effect
1244,turn the car on.,go to the favorite grocery shop by car.,pay cashier.,0,effect
1245,drive to grocery store.,pay for grocery.,turn the car on.,1,cause
1246,drive to store.,pay for items.,turn the car on.,1,cause
1247,drive to store.,pay for items.,turn on the car.,1,cause
1248,drive to the grocery store.,pay for items.,turn on the car.,1,cause
1249,get to a shop by driving.,pay the cashier.,turn the car on.,1,cause
1250,turn on the car.,drive to store.,put groceries in a bag.,0,effect
1251,turn on the car.,drive to store.,bagger bags groceries.,0,effect
1252,turn the car on.,drive the car to the grocery.,"if necessary, bag your items.",0,effect
1253,turn on the car.,make a trip to the store by car.,bagger bags groceries.,0,effect
1254,turn on the car.,find a grocery store.drive  to the store.,bagger places items into bags.,0,effect
1255,drive to the nearby store.,"if necessary, bag your items.",turn on the car.,1,cause
1256,take your car and drive to grocery shop.,pack the things in your bag and prepare to leave the mall.,turn the car on.,1,cause
1257,go to the store by car.,get neatly packed and take it to home.,turn on the car.,1,cause
1258,drive to store.,bag food.,turn on the car.,1,cause
1259,drive to store and park.,pack the purchased items.,turn on the car.,1,cause
1260,turn on the car.,go to store by driving.,put bags in cart.,0,effect
1261,turn the car on.,make a trip to the store by car.,"as the cashier bags items, place them back into your cart.",0,effect
1262,turn on the car.,drive to the grocery store.,put bags in cart.,0,effect
1263,turn on the car.,drive to grocery store.,put the bagged items in the cart.,0,effect
1264,turn on the car.,drive to store.,bagger places in cart.,0,effect
1265,drive to store.,put bags in cart.,turn the car on.,1,cause
1266,drive to store.,"as the cashier bags items, place them back into your cart.",turn the car on.,1,cause
1267,drive to grocery store.,bagger places in cart.,turn on the car.,1,cause
1268,drive to grocery store.,put bags in cart.,turn on the car.,1,cause
1269,drive to grocery store.,place bags of groceries into cart.,turn the car on.,1,cause
1270,turn the car on.,get receipt.,"visit the mall by car, park the vehicle.",1,effect
1271,turn the car on.,get the bill.,drive to store.,1,effect
1272,turn the car on.,get the bill.,go to the store by driving.,1,effect
1273,turn on the car.,get the bill.,drive to store.,1,effect
1274,turn the car on.,get the bill for groceries.,drive to store.,1,effect
1275,go to the store by driving your own vehicle.,get receipt.,turn the car on.,1,cause
1276,drive to grocery store.,get receipt.,turn the car on.,1,cause
1277,drive to the grocery store.,get receipt.,turn the car on.,1,cause
1278,drive to grocery store.,get the bill.,turn on the car.,1,cause
1279,drive to grocery store.,get receipt.,turn on the car.,1,cause
1280,turn the car on.,drive to store.,return cart to store.,0,effect
1281,turn on the car.,go to the favorite grocery shop by car.,place cart into cart corral.,0,effect
1282,turn on the car.,go to grocery store by car.,return cart to store.,0,effect
1283,turn the car on.,go to the store by your own vehicle.,place cart into cart corral.,0,effect
1285,"visit the mall by car, park the vehicle.",return cart to store.,turn the car on.,1,cause
1286,drive to the grocery store.,return cart to store.,turn on the car.,1,cause
1287,drive the car to the grocery.,place cart into cart corral.,turn the car on.,1,cause
1288,go to grocery store by car.,place cart into cart corral.,turn the car on.,1,cause
1289,drive to store.,place cart into cart corral.,turn the car on.,1,cause
1290,park the car.,turn the car on.,travel to grocery store by bus.,0,cause
1291,park car.,turn the car on.,travel to grocery store by bus.,0,cause
1292,park your car.,turn the car on.,take bus to grocery store.,0,cause
1293,park.,turn the car on.,take bus to grocery store.,0,cause
1294,park.,turn the car on.,travel to grocery store by bus.,0,cause
1295,turn the car on.,park car.,travel to grocery store by bus.,0,effect
1297,turn on the car.,park the car.,take bus to grocery store.,0,effect
1298,turn the car on.,find parking spot.park car.,take bus to grocery store.,0,effect
1300,take out the shopping list from the car.,turn on the car.,travel to grocery store by bus.,0,cause
1301,take out the shopping list from the car.,turn the car on.,take bus to grocery store.,0,cause
1303,take out the shopping list from the car.,turn on the car.,take bus to grocery store.,0,cause
1305,turn the car on.,take out the shopping list from the car.,take bus to grocery store.,0,effect
1306,turn on the car.,take out the shopping list from the car.,take bus to grocery store.,0,effect
1309,turn on the car.,take out the shopping list from the car.,travel to grocery store by bus.,0,effect
1310,put items into car and drive home.,turn the car on.,take bus to grocery store.,0,cause
1311,leave the store.,turn on the car.,travel to grocery store by bus.,0,cause
1312,go back to the car.put the bags in the car.,turn on the car.,travel to grocery store by bus.,0,cause
1313,take cart to car.put bags in car.,turn the car on.,travel to grocery store by bus.,0,cause
1314,put bags in car.,turn the car on.,travel to grocery store by bus.,0,cause
1315,turn on the car.,take your groceries to your car and place them in the car.,travel to grocery store by bus.,0,effect
1316,turn the car on.,unload grocery into your car.,travel to grocery store by bus.,0,effect
1317,turn on the car.,take groceries to your car and load them up.,travel to grocery store by bus.,0,effect
1318,turn the car on.,put bags in car.,travel to grocery store by bus.,0,effect
1319,turn on the car.,put groceries in your car.,take bus to grocery store.,0,effect
1320,park your car.,turn on the car.,go to grocery shop by walking.,0,cause
1321,park the car.,turn on the car.,walk to the store.,0,cause
1323,park car.,turn the car on.,walk to the store.,0,cause
1324,park the car.,turn the car on.,go to grocery shop by walking.,0,cause
1325,turn the car on.,find parking spot.park car.,walk to the store.,0,effect
1326,turn the car on.,park your car.,go to grocery shop by walking.,0,effect
1327,turn on the car.,park car at the parking.,go to grocery shop by walking.,0,effect
1328,turn on the car.,park.,walk to the store.,0,effect
1329,turn on the car.,get out of car and move towards grocery store.,go to grocery shop by walking.,0,effect
1330,take out the shopping list from the car.,turn on the car.,walk to the store.,0,cause
1331,take out the shopping list from the car.,turn the car on.,go to grocery shop by walking.,0,cause
1332,take out the shopping list from the car.,turn on the car.,go to grocery shop by walking.,0,cause
1333,take out the shopping list from the car.,turn the car on.,walk to the store.,0,cause
1335,turn on the car.,take out the shopping list from the car.,go to grocery shop by walking.,0,effect
1336,turn the car on.,take out the shopping list from the car.,go to grocery shop by walking.,0,effect
1338,turn the car on.,take out the shopping list from the car.,walk to the store.,0,effect
1340,leave the store.,turn the car on.,walk to the store.,0,cause
1341,walk out of store.put groceries in car.,turn on the car.,walk to the store.,0,cause
1342,unload grocery into your car.,turn on the car.,go to grocery shop by walking.,0,cause
1343,put bags in car and go home.,turn the car on.,go to grocery shop by walking.,0,cause
1344,take bags to car.,turn the car on.,go to grocery shop by walking.,0,cause
1345,turn the car on.,take cart to car.put bags in car.,walk to the store.,0,effect
1346,turn on the car.,put bags in car and go home.,walk to the store.,0,effect
1347,turn the car on.,put items into car and drive home.,walk to the store.,0,effect
1348,turn the car on.,take your groceries to your car and place them in the car.,go to grocery shop by walking.,0,effect
1349,turn on the car.,go back to car.load groceries in trunk.,go to grocery shop by walking.,0,effect
1350,turn the car on.,park.,get a shopping cart if required.,0,effect
1351,turn the car on.,park car at the parking.,grab a cart.,0,effect
1352,turn the car on.,park the car.,get cart.,0,effect
1353,turn on the car.,park your car.,grab a cart.,0,effect
1354,turn the car on.,park car.,get grocery cart.,0,effect
1355,park car.,get cart.,turn the car on.,1,cause
1356,park the car.,get a shopping cart from the front store.,turn the car on.,1,cause
1357,find parking spot.park car.,get a shopping cart if required.,turn the car on.,1,cause
1358,park the car.,get a shopping cart if required.,turn on the car.,1,cause
1359,park the car.,get cart.,turn the car on.,1,cause
1360,turn the car on.,find parking spot.park car.,"walk through the aisles of the store, add items to your cart.",0,effect
1361,turn on the car.,park.,go down aisles.,0,effect
1362,turn the car on.,park the car.,stroll through store and get needed items.,0,effect
1363,turn on the car.,park car.,walk down desired aisles.,0,effect
1364,turn on the car.,find parking spot.park car.,walk through store.,0,effect
1365,find parking spot.park car.,go down each aisle and put the groceries you would like to purchase in your cart.,turn on the car.,1,cause
1366,find parking spot.park car.,go down aisles.,turn the car on.,1,cause
1367,get out of car and move towards grocery store.,go aisle by aisle putting the items i want in the cart.,turn on the car.,1,cause
1368,park the car.,walk through aisles.,turn on the car.,1,cause
1369,get out of car and move towards grocery store.,stroll through store and get needed items.,turn on the car.,1,cause
1370,turn on the car.,park the car.,pick up everything and put into your cart.,0,effect
1371,turn on the car.,get out of car and move towards grocery store.,find items you want to buy.place items in grocery cart.,0,effect
1372,turn the car on.,get out of car and move towards grocery store.,find items on grocery rack.,0,effect
1373,turn the car on.,park the car.,pick up everything and put into your cart.,0,effect
1374,turn on the car.,get out of car and move towards grocery store.,select grocery items from shelf.,0,effect
1375,park the car.,look for the food you want.put food in cart.,turn the car on.,1,cause
1376,get out of car and move towards grocery store.,find the required items.,turn the car on.,1,cause
1377,find parking spot.park car.,"go to shelf and get the boxed, bagged, jarred food items.",turn the car on.,1,cause
1378,park car at the parking.,find the items you want to purchase from grocery rack.,turn on the car.,1,cause
1379,find parking spot.park car.,take things off shelf.,turn on the car.,1,cause
1380,turn the car on.,park car at the parking.,cross them off your list(check if all items on list are purchased).,0,effect
1381,turn on the car.,park car.,check whether the list is complete(all things on list are purchased).,0,effect
1382,turn on the car.,get out of car and move towards grocery store.,cross check the purchased items with your list.,0,effect
1383,turn on the car.,park car at the parking.,check your list at each aisle to ensure you haven't missed anything.,0,effect
1384,turn on the car.,park the car.,cross them off your list(check if all items on list are purchased).,0,effect
1385,park.,check your list at each aisle to ensure you haven't missed anything.,turn on the car.,1,cause
1386,park car.,cross check the purchased items with your list.,turn the car on.,1,cause
1387,park.,check your list at each aisle to ensure you haven't missed anything.,turn the car on.,1,cause
1388,park your car.,check whether the list is complete(all things on list are purchased).,turn on the car.,1,cause
1389,park car.,cross them off your list(check if all items on list are purchased).,turn the car on.,1,cause
1390,turn the car on.,get out of car and move towards grocery store.,go to check out stand and pay for items.,0,effect
1391,turn on the car.,park the car.,bring items to cashier at front of store.,0,effect
1392,turn the car on.,park.,"when you are finished picking out what you want to purchase, go to the check out line.",0,effect
1393,turn on the car.,get out of car and move towards grocery store.,walk to check out line.,0,effect
1394,turn on the car.,get out of car and move towards grocery store.,go to check out line.,0,effect
1395,get out of car and move towards grocery store.,bring items to checkout.,turn on the car.,1,cause
1396,park your car.,take to check out.,turn the car on.,1,cause
1397,park car at the parking.,take cart to checkout line.,turn on the car.,1,cause
1398,get out of car and move towards grocery store.,take the full cart to the checkout lane.,turn on the car.,1,cause
1399,park your car.,go to check out.,turn on the car.,1,cause
1400,turn the car on.,park the car.,line up to pay.,0,effect
1401,turn the car on.,park your car.,wait your turn to pay.,0,effect
1403,turn on the car.,find parking spot.park car.,wait in line.,0,effect
1404,turn the car on.,find parking spot.park car.,wait your turn to pay.,0,effect
1405,park car at the parking.,stand in line for register.,turn the car on.,1,cause
1406,park car at the parking.,"wait in line for checkout, perhaps looking at a magazine while doing so.",turn on the car.,1,cause
1407,park your car.,wait your turn to pay.,turn on the car.,1,cause
1408,park car.,wait your turn.,turn on the car.,1,cause
1409,park car.,line up to pay.,turn the car on.,1,cause
1410,turn on the car.,get out of car and move towards grocery store.,present any coupons you may have for items purchased.,0,effect
1411,turn on the car.,park car.,present any coupons you may have for items purchased.,0,effect
1412,turn on the car.,park car at the parking.,present any coupons you may have for items purchased.,0,effect
1413,turn the car on.,park the car.,present any coupons you may have for items purchased.,0,effect
1414,turn the car on.,park.,present any coupons you may have for items purchased.,0,effect
1415,get out of car and move towards grocery store.,present any coupons you may have for items purchased.,turn on the car.,1,cause
1416,park the car.,present any coupons you may have for items purchased.,turn the car on.,1,cause
1417,park.,present any coupons you may have for items purchased.,turn the car on.,1,cause
1418,park your car.,present any coupons you may have for items purchased.,turn on the car.,1,cause
1420,turn on the car.,park car.,put items on belt.,0,effect
1421,turn on the car.,get out of car and move towards grocery store.,have cashier check you out.,0,effect
1422,turn on the car.,find parking spot.park car.,place items on conveyer belt.,0,effect
1423,turn the car on.,park the car.,place items onto conveyor belt.,0,effect
1424,turn on the car.,park car.,put all of your groceries on the belt for the cashier to ring up and bag.,0,effect
1425,find parking spot.park car.,put your items on the counter or belt to be scanned and rang up.,turn on the car.,1,cause
1426,get out of car and move towards grocery store.,put items on table.,turn the car on.,1,cause
1427,park the car.,have cashier check you out.,turn on the car.,1,cause
1428,park the car.,load items from the cart onto the checkout lane's belt.,turn on the car.,1,cause
1429,park.,put items on table.,turn the car on.,1,cause
1430,turn on the car.,park car at the parking.,check out the things.,0,effect
1431,turn on the car.,find parking spot.park car.,check out the things.,0,effect
1432,turn the car on.,park car.,let the cashier ring up your items.,0,effect
1433,turn on the car.,park the car.,watch prices as the checker scans.,0,effect
1434,turn the car on.,park.,take groceries one by one for billing.,0,effect
1435,park car.,let the cashier ring up your items.,turn the car on.,1,cause
1436,park car at the parking.,wait for cashier to finish ringing you up.,turn the car on.,1,cause
1437,park the car.,watch prices as the checker scans.,turn on the car.,1,cause
1438,park car.,check out food.,turn the car on.,1,cause
1439,park car.,cashier rings up items.,turn on the car.,1,cause
1440,turn the car on.,park car at the parking.,cashier gives you total amount to be paid.,0,effect
1441,turn the car on.,find parking spot.park car.,cashier gives you total.,0,effect
1442,turn on the car.,find parking spot.park car.,cashier gives total amount to be paid.,0,effect
1443,turn on the car.,park car.,cashier gives you total.,0,effect
1444,turn the car on.,park car.,cashier gives total.,0,effect
1445,park car.,wait to know the total amount to be paid.,turn on the car.,1,cause
1446,park car.,cashier gives you total.,turn on the car.,1,cause
1447,get out of car and move towards grocery store.,cashier gives you total.,turn on the car.,1,cause
1448,park the car.,cashier gives total amount to be paid.,turn on the car.,1,cause
1449,find parking spot.park car.,cashier gives total amount to be paid.,turn on the car.,1,cause
1450,turn the car on.,park the car.,take out money from the wallet.,0,effect
1451,turn on the car.,find parking spot.park car.,get wallet and take money out of it.,0,effect
1452,turn on the car.,park car at the parking.,get wallet and take money out of it.,0,effect
1453,turn on the car.,get out of car and move towards grocery store.,take the money out of wallet for paying the bill.,0,effect
1454,turn on the car.,park car.,take the money out of wallet for paying the bill.,0,effect
1455,park your car.,get wallet and take money out of it.,turn on the car.,1,cause
1456,find parking spot.park car.,take the money out of wallet for paying the bill.,turn on the car.,1,cause
1457,park your car.,get wallet and take money out of it.,turn the car on.,1,cause
1458,get out of car and move towards grocery store.,get wallet and take money out of it.,turn on the car.,1,cause
1459,park car at the parking.,get wallet and take money out of it.,turn on the car.,1,cause
1460,turn on the car.,get out of car and move towards grocery store.,pay for items.,0,effect
1461,turn on the car.,find parking spot.park car.,pay for items.,0,effect
1462,turn on the car.,park your car.,pay for groceries.,0,effect
1463,turn the car on.,park the car.,pay the cashier.,0,effect
1464,turn on the car.,park.,pay for your items.,0,effect
1465,park your car.,pay for items.,turn the car on.,1,cause
1466,park your car.,pay for groceries.,turn the car on.,1,cause
1467,park the car.,pay for your items.,turn the car on.,1,cause
1468,park car at the parking.,"pay for your groceries with either cash, check, or debit or credit.",turn on the car.,1,cause
1469,park the car.,pay by credit card.,turn the car on.,1,cause
1470,turn on the car.,park car.,pack the purchased items.,0,effect
1471,turn on the car.,park the car.,pack items.,0,effect
1472,turn on the car.,find parking spot.park car.,bagger bags groceries.,0,effect
1473,turn on the car.,find parking spot.park car.,pack items.,0,effect
1474,turn the car on.,get out of car and move towards grocery store.,bag the groceries.,0,effect
1475,park car.,pack items.,turn the car on.,1,cause
1476,park car.,bagger places items into bags.,turn the car on.,1,cause
1477,park car.,put groceries in a bag.,turn the car on.,1,cause
1478,park your car.,"if necessary, bag your items.",turn on the car.,1,cause
1479,park car.,bag the groceries.,turn the car on.,1,cause
1480,turn the car on.,park your car.,place bags of groceries into cart.,0,effect
1481,turn on the car.,park the car.,put bags in cart.,0,effect
1482,turn the car on.,park the car.,"as the cashier bags items, place them back into your cart.",0,effect
1483,turn the car on.,park.,bagger places in cart.,0,effect
1484,turn the car on.,find parking spot.park car.,put the bagged items in the cart.,0,effect
1485,park car.,"as the cashier bags items, place them back into your cart.",turn the car on.,1,cause
1486,park car.,bagger places in cart.,turn on the car.,1,cause
1488,park.,place bags of groceries into cart.,turn the car on.,1,cause
1489,park car.,put bags in cart.,turn the car on.,1,cause
1490,turn the car on.,park the car.,get the bill for groceries.,0,effect
1491,turn on the car.,park.,get receipt.,0,effect
1492,turn the car on.,find parking spot.park car.,get the bill for groceries.,0,effect
1493,turn on the car.,park the car.,get the bill for groceries.,0,effect
1494,turn the car on.,park car.,get the bill for groceries.,0,effect
1495,park the car.,get receipt.,turn the car on.,1,cause
1496,park the car.,get the bill.,turn the car on.,1,cause
1497,park car.,get the bill for groceries.,turn the car on.,1,cause
1498,get out of car and move towards grocery store.,get the bill.,turn on the car.,1,cause
1499,park the car.,get receipt.,turn on the car.,1,cause
1500,turn the car on.,park.,place cart into cart corral.,0,effect
1501,turn the car on.,get out of car and move towards grocery store.,return cart to store.,0,effect
1502,turn on the car.,park the car.,place cart into cart corral.,0,effect
1503,turn the car on.,park car at the parking.,return cart to store.,0,effect
1504,turn the car on.,park car.,return cart to store.,0,effect
1505,park the car.,return cart to store.,turn on the car.,1,cause
1506,park.,return cart to store.,turn on the car.,1,cause
1508,park car.,return cart to store.,turn the car on.,1,cause
1509,park.,return cart to store.,turn the car on.,1,cause
1510,turn the car on.,take out the shopping list from the car.,get grocery cart.,0,effect
1511,turn on the car.,take out the shopping list from the car.,get a cart.,0,effect
1512,turn the car on.,take out the shopping list from the car.,get a shopping cart if needed.,0,effect
1513,turn the car on.,take out the shopping list from the car.,get cart.,0,effect
1514,turn the car on.,take out the shopping list from the car.,take a shopping cart.,0,effect
1515,take out the shopping list from the car.,get shopping cart.,turn on the car.,1,cause
1516,take out the shopping list from the car.,take a cart.,turn the car on.,1,cause
1517,take out the shopping list from the car.,get a cart.,turn on the car.,1,cause
1518,take out the shopping list from the car.,get a grocery cart.,turn on the car.,1,cause
1519,take out the shopping list from the car.,get a shopping cart.,turn on the car.,1,cause
1520,turn on the car.,take out the shopping list from the car.,"push cart around store, getting items from list.",0,effect
1521,turn the car on.,take out the shopping list from the car.,walk through store and place items you want into cart.,0,effect
1522,turn on the car.,take out the shopping list from the car.,walk through store.,0,effect
1523,turn on the car.,take out the shopping list from the car.,stroll through store and get needed items.,0,effect
1524,turn the car on.,take out the shopping list from the car.,browse the store.,0,effect
1525,take out the shopping list from the car.,"walk through the aisles of the store, add items to your cart.",turn on the car.,1,cause
1526,take out the shopping list from the car.,find what aisles you need to go to.,turn on the car.,1,cause
1527,take out the shopping list from the car.,browse the store.,turn on the car.,1,cause
1528,take out the shopping list from the car.,walk through store and place items you want into cart.,turn on the car.,1,cause
1529,take out the shopping list from the car.,walk through store and place items you want into cart.,turn the car on.,1,cause
1530,turn on the car.,take out the shopping list from the car.,"go to shelf and get the boxed, bagged, jarred food items.",0,effect
1531,turn on the car.,take out the shopping list from the car.,find products and put products in your cart.,0,effect
1532,turn the car on.,take out the shopping list from the car.,pick up what is needed from the shelves.place in the trolley properly.,0,effect
1533,turn on the car.,take out the shopping list from the car.,fill the shopping cart with grocery items.,0,effect
1534,turn on the car.,take out the shopping list from the car.,find items on gerocery rack.put items into cart.,0,effect
1535,take out the shopping list from the car.,find things required to buy.put them in cart.,turn the car on.,1,cause
1536,take out the shopping list from the car.,put items i need in cart.,turn the car on.,1,cause
1537,take out the shopping list from the car.,put them in the cart.,turn on the car.,1,cause
1538,take out the shopping list from the car.,select grocery items from shelf.,turn on the car.,1,cause
1539,take out the shopping list from the car.,take the things you want to buy.put them on to the trolley.,turn the car on.,1,cause
1540,turn the car on.,take out the shopping list from the car.,get in checkout line.,0,effect
1541,turn the car on.,take out the shopping list from the car.,take your items to the checkout counter.,0,effect
1542,turn the car on.,take out the shopping list from the car.,go to checkout.,0,effect
1543,turn on the car.,take out the shopping list from the car.,go to checkout line.,0,effect
1544,turn the car on.,take out the shopping list from the car.,go up to check out line.,0,effect
1545,take out the shopping list from the car.,take your items to the checkout counter.,turn on the car.,1,cause
1546,take out the shopping list from the car.,go to checkout lane.,turn on the car.,1,cause
1547,take out the shopping list from the car.,bring items to cashier at front of store.,turn the car on.,1,cause
1548,take out the shopping list from the car.,take to check out.,turn the car on.,1,cause
1550,turn on the car.,take out the shopping list from the car.,wait in line.,0,effect
1551,turn the car on.,take out the shopping list from the car.,wait in line.,0,effect
1552,turn the car on.,take out the shopping list from the car.,wait in line for checkout.,0,effect
1553,turn on the car.,take out the shopping list from the car.,wait in line at checkout.,0,effect
1554,turn on the car.,take out the shopping list from the car.,stand in line for register.,0,effect
1555,take out the shopping list from the car.,wait in line.,turn the car on.,1,cause
1556,take out the shopping list from the car.,line up to pay.,turn on the car.,1,cause
1557,take out the shopping list from the car.,wait your turn to pay.,turn the car on.,1,cause
1558,take out the shopping list from the car.,wait in line.,turn on the car.,1,cause
1560,turn on the car.,take out the shopping list from the car.,present any coupons you may have for items purchased.,0,effect
1561,turn the car on.,take out the shopping list from the car.,present any coupons you may have for items purchased.,0,effect
1565,take out the shopping list from the car.,present any coupons you may have for items purchased.,turn the car on.,1,cause
1568,take out the shopping list from the car.,present any coupons you may have for items purchased.,turn on the car.,1,cause
1570,turn on the car.,take out the shopping list from the car.,unload items onto conveyer belt.,0,effect
1571,turn the car on.,take out the shopping list from the car.,put groceries on conveyor belt.,0,effect
1572,turn the car on.,take out the shopping list from the car.,remove items from cart.,0,effect
1573,turn on the car.,take out the shopping list from the car.,place groceries items on conveyor belt.,0,effect
1574,turn on the car.,take out the shopping list from the car.,put items on table.,0,effect
1575,take out the shopping list from the car.,put items on belt.,turn on the car.,1,cause
1576,take out the shopping list from the car.,put items on belt.,turn the car on.,1,cause
1577,take out the shopping list from the car.,place groceries items on conveyor belt.,turn the car on.,1,cause
1578,take out the shopping list from the car.,put groceries on conveyor belt.,turn on the car.,1,cause
1580,turn on the car.,take out the shopping list from the car.,watch prices as the checker scans.,0,effect
1581,turn the car on.,take out the shopping list from the car.,wait for cashier to finish ringing you up.,0,effect
1584,turn the car on.,take out the shopping list from the car.,watch prices as the checker scans.,0,effect
1585,take out the shopping list from the car.,watch prices as the checker scans.,turn the car on.,1,cause
1586,take out the shopping list from the car.,wait for cashier to finish ringing you up.,turn the car on.,1,cause
1587,take out the shopping list from the car.,watch prices as the checker scans.,turn on the car.,1,cause
1588,take out the shopping list from the car.,wait for them to be scanned.,turn the car on.,1,cause
1589,take out the shopping list from the car.,check out the things.,turn on the car.,1,cause
1590,turn the car on.,take out the shopping list from the car.,wait to know the total amount to be paid.,0,effect
1591,turn the car on.,take out the shopping list from the car.,"when all items are scanned, the cashier will give you a total.",0,effect
1593,turn on the car.,take out the shopping list from the car.,cashier gives you total.,0,effect
1594,turn the car on.,take out the shopping list from the car.,cashier gives total amount to be paid.,0,effect
1595,take out the shopping list from the car.,cashier gives total amount to be paid.,turn on the car.,1,cause
1597,take out the shopping list from the car.,"when all items are scanned, the cashier will give you a total.",turn the car on.,1,cause
1598,take out the shopping list from the car.,cashier gives total.,turn the car on.,1,cause
1599,take out the shopping list from the car.,cashier gives you total amount to be paid.,turn the car on.,1,cause
1600,turn the car on.,take out the shopping list from the car.,get wallet and take money out of it.,0,effect
1601,turn the car on.,take out the shopping list from the car.,take the money out of wallet for paying the bill.,0,effect
1604,turn on the car.,take out the shopping list from the car.,get wallet and take money out of it.,0,effect
1605,take out the shopping list from the car.,get wallet and take money out of it.,turn on the car.,1,cause
1607,take out the shopping list from the car.,get wallet and take money out of it.,turn the car on.,1,cause
1609,take out the shopping list from the car.,take out money from the wallet.,turn the car on.,1,cause
1610,turn on the car.,take out the shopping list from the car.,pay for groceries.,0,effect
1611,turn the car on.,take out the shopping list from the car.,pay for your items.,0,effect
1612,turn on the car.,take out the shopping list from the car.,pay total.,0,effect
1613,turn on the car.,take out the shopping list from the car.,pay for items.,0,effect
1614,turn the car on.,take out the shopping list from the car.,pay for them at the register.,0,effect
1615,take out the shopping list from the car.,pay for groceries.,turn the car on.,1,cause
1616,take out the shopping list from the car.,pay for items.,turn the car on.,1,cause
1618,take out the shopping list from the car.,pay for your items.,turn on the car.,1,cause
1620,turn on the car.,take out the shopping list from the car.,pack the things in your bag and prepare to leave the mall.,0,effect
